#Classification	S-27-POLPIL-G_bracken_P.kreport
k__Bacteria	306395
k__Bacteria|p__Proteobacteria	223139
k__Bacteria|p__Actinobacteria	42734
k__Bacteria|p__Cyanobacteria	21698
k__Bacteria|p__Firmicutes	1152
k__Bacteria|p__Deinococcus-Thermus	77
k__Bacteria|p__Chloroflexi	57
k__Bacteria|p__Armatimonadetes	16
k__Bacteria|p__Tenericutes	7
k__Bacteria|p__Acidobacteria	13164
k__Bacteria|p__Bacteroidetes	2769
k__Bacteria|p__Chlorobi	5
k__Bacteria|p__Rhodothermaeota	10
k__Bacteria|p__Gemmatimonadetes	30
k__Bacteria|p__Planctomycetes	1051
k__Bacteria|p__Verrucomicrobia	243
k__Bacteria|p__Chlamydiae	17
k__Bacteria|p__Kiritimatiellaeota	63
k__Bacteria|p__Spirochaetes	108
k__Bacteria|p__Candidatus_Saccharibacteria	15
k__Bacteria|p__Nitrospirae	4
k__Bacteria|p__Thermotogae	3
k__Bacteria|p__Fusobacteria	2
k__Bacteria|p__Synergistetes	1
k__Bacteria|p__Chrysiogenetes	22
k__Eukaryota	239406
k__Eukaryota|k__Viridiplantae	210282
k__Eukaryota|k__Viridiplantae|p__Streptophyta	210192
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	90
k__Eukaryota|k__Metazoa	25253
k__Eukaryota|k__Metazoa|p__Chordata	25253
k__Eukaryota|k__Fungi	3767
k__Eukaryota|k__Fungi|p__Ascomycota	3562
k__Eukaryota|k__Fungi|p__Basidiomycota	204
k__Eukaryota|p__Bacillariophyta	37
k__Eukaryota|p__Cercozoa	27
k__Eukaryota|p__Apicomplexa	10
k__Eukaryota|p__Evosea	16
k__Eukaryota|p__Euglenozoa	10
k__Archaea	47
k__Archaea|p__Euryarchaeota	46
k__Archaea|p__Crenarchaeota	1
k__Viruses	8
k__Viruses|k__Heunggongvirae	6
k__Viruses|k__Heunggongvirae|p__Uroviricota	6
k__Viruses|k__Bamfordvirae	2
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	2
