#Classification	S-1-POLJUN-G_bracken_C.kreport
k__Bacteria	44559
k__Bacteria|p__Proteobacteria	43531
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	36779
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	5557
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	1194
k__Bacteria|p__Actinobacteria	489
k__Bacteria|p__Actinobacteria|c__Actinomycetia	445
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	44
k__Bacteria|p__Bacteroidetes	287
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	136
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	145
k__Bacteria|p__Bacteroidetes|c__Cytophagia	3
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	1
k__Bacteria|p__Acidobacteria	246
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	246
k__Bacteria|p__Planctomycetes	4
k__Bacteria|p__Planctomycetes|c__Planctomycetia	4
k__Eukaryota	863
k__Eukaryota|k__Viridiplantae	757
k__Eukaryota|k__Viridiplantae|p__Streptophyta	757
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	737
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	20
k__Eukaryota|k__Metazoa	105
k__Eukaryota|k__Metazoa|p__Chordata	105
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	105
k__Eukaryota|p__Euglenozoa	1
k__Eukaryota|p__Euglenozoa|c__Kinetoplastea	1
