#Classification	SRR5091512_bracken_O.kreport
k__Bacteria	1042918
k__Bacteria|p__Bacteroidetes	809677
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	809677
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	809677
k__Bacteria|p__Firmicutes	210682
k__Bacteria|p__Firmicutes|c__Clostridia	196166
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	196166
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	9199
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	9199
k__Bacteria|p__Firmicutes|c__Negativicutes	4999
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	4879
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	61
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	57
k__Bacteria|p__Firmicutes|c__Bacilli	316
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	316
k__Bacteria|p__Actinobacteria	193
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	114
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	104
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	9
k__Bacteria|p__Actinobacteria|c__Actinomycetia	79
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	78
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	1
k__Bacteria|p__Proteobacteria	22358
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	22234
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	15540
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	6679
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	11
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	3
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	70
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	69
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	1
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	36
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	36
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	12
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	12
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	5
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfarculales	4
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	1
k__Bacteria|p__Fusobacteria	3
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	3
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	3
k__Bacteria|p__Verrucomicrobia	2
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2
k__Eukaryota	1
k__Eukaryota|k__Viridiplantae	1
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	1
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Caryophyllales	1
k__Viruses	61
k__Viruses|k__Heunggongvirae	61
k__Viruses|k__Heunggongvirae|p__Uroviricota	61
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	61
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes|o__Caudovirales	61
