#Classification	S-27-POLJUN-B_bracken_P.kreport
k__Bacteria	370914
k__Bacteria|p__Actinobacteria	71834
k__Bacteria|p__Cyanobacteria	45773
k__Bacteria|p__Chloroflexi	33
k__Bacteria|p__Armatimonadetes	14
k__Bacteria|p__Firmicutes	13677
k__Bacteria|p__Proteobacteria	215341
k__Bacteria|p__Bacteroidetes	10673
k__Bacteria|p__Ignavibacteriae	21
k__Bacteria|p__Gemmatimonadetes	1
k__Bacteria|p__Acidobacteria	11639
k__Bacteria|p__Planctomycetes	1727
k__Bacteria|p__Verrucomicrobia	153
k__Bacteria|p__Chlamydiae	5
k__Bacteria|p__Candidatus_Saccharibacteria	17
k__Bacteria|p__Thermodesulfobacteria	3
k__Eukaryota	2188
k__Eukaryota|k__Metazoa	1221
k__Eukaryota|k__Metazoa|p__Chordata	1221
k__Eukaryota|k__Fungi	408
k__Eukaryota|k__Fungi|p__Ascomycota	367
k__Eukaryota|k__Fungi|p__Basidiomycota	41
k__Eukaryota|k__Viridiplantae	557
k__Eukaryota|k__Viridiplantae|p__Streptophyta	548
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	9
k__Archaea	4
k__Archaea|p__Euryarchaeota	4
