#Classification	SRR20002485_bracken_P.kreport
k__Bacteria	317855
k__Bacteria|p__Proteobacteria	317027
k__Bacteria|p__Firmicutes	475
k__Bacteria|p__Actinobacteria	313
k__Bacteria|p__Deinococcus-Thermus	30
k__Bacteria|p__Bacteroidetes	9
k__Eukaryota	1876
k__Eukaryota|k__Metazoa	1763
k__Eukaryota|k__Metazoa|p__Chordata	1763
k__Eukaryota|k__Fungi	17
k__Eukaryota|k__Fungi|p__Basidiomycota	15
k__Eukaryota|k__Fungi|p__Ascomycota	2
k__Eukaryota|p__Apicomplexa	85
k__Eukaryota|k__Viridiplantae	10
k__Eukaryota|k__Viridiplantae|p__Streptophyta	10
