#Classification	S-2-POLJUN-G_bracken_C.kreport
k__Bacteria	135554
k__Bacteria|p__Proteobacteria	133315
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	121705
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	9983
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	1618
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	8
k__Bacteria|p__Actinobacteria	1637
k__Bacteria|p__Actinobacteria|c__Actinomycetia	1532
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	104
k__Bacteria|p__Firmicutes	8
k__Bacteria|p__Firmicutes|c__Bacilli	8
k__Bacteria|p__Acidobacteria	344
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	344
k__Bacteria|p__Bacteroidetes	244
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	92
k__Bacteria|p__Bacteroidetes|c__Cytophagia	25
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	123
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	2
k__Bacteria|p__Planctomycetes	3
k__Bacteria|p__Planctomycetes|c__Planctomycetia	3
k__Eukaryota	1128
k__Eukaryota|k__Viridiplantae	990
k__Eukaryota|k__Viridiplantae|p__Streptophyta	990
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	954
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	36
k__Eukaryota|k__Metazoa	125
k__Eukaryota|k__Metazoa|p__Chordata	125
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	125
k__Eukaryota|k__Fungi	12
k__Eukaryota|k__Fungi|p__Basidiomycota	8
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes	6
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Agaricomycetes	2
k__Eukaryota|k__Fungi|p__Ascomycota	3
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes	2
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes	1
