#Classification	S-2-POLJUN-G_bracken_P.kreport
k__Bacteria	135555
k__Bacteria|p__Proteobacteria	133315
k__Bacteria|p__Actinobacteria	1637
k__Bacteria|p__Cyanobacteria	4
k__Bacteria|p__Firmicutes	4
k__Bacteria|p__Acidobacteria	345
k__Bacteria|p__Bacteroidetes	244
k__Bacteria|p__Planctomycetes	3
k__Eukaryota	1128
k__Eukaryota|k__Viridiplantae	990
k__Eukaryota|k__Viridiplantae|p__Streptophyta	990
k__Eukaryota|k__Metazoa	125
k__Eukaryota|k__Metazoa|p__Chordata	125
k__Eukaryota|k__Fungi	12
k__Eukaryota|k__Fungi|p__Ascomycota	3
k__Eukaryota|k__Fungi|p__Basidiomycota	8
