#Classification	S-3-DICUND-G_bracken_P.kreport
k__Bacteria	198791
k__Bacteria|p__Proteobacteria	174737
k__Bacteria|p__Cyanobacteria	18844
k__Bacteria|p__Actinobacteria	4451
k__Bacteria|p__Firmicutes	138
k__Bacteria|p__Acidobacteria	498
k__Bacteria|p__Bacteroidetes	91
k__Bacteria|p__Planctomycetes	26
k__Bacteria|p__Verrucomicrobia	3
k__Eukaryota	1514
k__Eukaryota|k__Viridiplantae	1229
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1229
k__Eukaryota|k__Metazoa	279
k__Eukaryota|k__Metazoa|p__Chordata	279
k__Eukaryota|k__Fungi	5
k__Eukaryota|k__Fungi|p__Basidiomycota	4
k__Eukaryota|k__Fungi|p__Ascomycota	1
