#Classification	NS77_bracken_P.kreport
k__Bacteria	2138519
k__Bacteria|p__Firmicutes	1179922
k__Bacteria|p__Actinobacteria	7307
k__Bacteria|p__Bacteroidetes	758255
k__Bacteria|p__Proteobacteria	193015
k__Bacteria|p__Fusobacteria	5
k__Bacteria|p__Candidatus_Saccharibacteria	1
k__Bacteria|p__Spirochaetes	2
k__Bacteria|p__Synergistetes	10
k__Eukaryota	6
k__Eukaryota|k__Viridiplantae	6
k__Eukaryota|k__Viridiplantae|p__Streptophyta	6
k__Viruses	475
k__Viruses|k__Heunggongvirae	475
k__Viruses|k__Heunggongvirae|p__Uroviricota	475
