#Classification	S-7-POLCOM-G_bracken_P.kreport
k__Bacteria	350620
k__Bacteria|p__Proteobacteria	301392
k__Bacteria|p__Actinobacteria	38077
k__Bacteria|p__Cyanobacteria	106
k__Bacteria|p__Firmicutes	1502
k__Bacteria|p__Acidobacteria	6890
k__Bacteria|p__Bacteroidetes	2385
k__Bacteria|p__Planctomycetes	166
k__Bacteria|p__Chlamydiae	13
k__Bacteria|p__Verrucomicrobia	10
k__Bacteria|p__Candidatus_Saccharibacteria	75
k__Eukaryota	13986
k__Eukaryota|k__Viridiplantae	12204
k__Eukaryota|k__Viridiplantae|p__Streptophyta	12199
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	4
k__Eukaryota|k__Metazoa	1462
k__Eukaryota|k__Metazoa|p__Chordata	1462
k__Eukaryota|k__Fungi	319
k__Eukaryota|k__Fungi|p__Ascomycota	203
k__Eukaryota|k__Fungi|p__Basidiomycota	115
k__Eukaryota|p__Euglenozoa	1
