#Classification	S-19-POLPIL-B_bracken_P.kreport
k__Bacteria	572616
k__Bacteria|p__Cyanobacteria	217957
k__Bacteria|p__Actinobacteria	72427
k__Bacteria|p__Chloroflexi	31
k__Bacteria|p__Deinococcus-Thermus	11
k__Bacteria|p__Firmicutes	219
k__Bacteria|p__Armatimonadetes	11
k__Bacteria|p__Proteobacteria	259894
k__Bacteria|p__Acidobacteria	16079
k__Bacteria|p__Bacteroidetes	3882
k__Bacteria|p__Gemmatimonadetes	4
k__Bacteria|p__Planctomycetes	1977
k__Bacteria|p__Verrucomicrobia	85
k__Bacteria|p__Chlamydiae	11
k__Bacteria|p__Candidatus_Saccharibacteria	23
k__Eukaryota	8560
k__Eukaryota|k__Viridiplantae	4665
k__Eukaryota|k__Viridiplantae|p__Streptophyta	4665
k__Eukaryota|k__Metazoa	2511
k__Eukaryota|k__Metazoa|p__Chordata	2511
k__Eukaryota|k__Fungi	1383
k__Eukaryota|k__Fungi|p__Ascomycota	1233
k__Eukaryota|k__Fungi|p__Basidiomycota	150
