#Classification	GQ32_bracken_P.kreport
k__Bacteria	13855596
k__Bacteria|p__Firmicutes	5522618
k__Bacteria|p__Actinobacteria	1464525
k__Bacteria|p__Tenericutes	126
k__Bacteria|p__Bacteroidetes	6166140
k__Bacteria|p__Verrucomicrobia	422628
k__Bacteria|p__Proteobacteria	279323
k__Bacteria|p__Spirochaetes	187
k__Bacteria|p__Fusobacteria	32
k__Bacteria|p__Candidatus_Saccharibacteria	8
k__Bacteria|p__Synergistetes	4
k__Archaea	16317
k__Archaea|p__Euryarchaeota	16317
k__Eukaryota	587
k__Eukaryota|k__Fungi	367
k__Eukaryota|k__Fungi|p__Ascomycota	367
k__Eukaryota|k__Metazoa	14
k__Eukaryota|k__Metazoa|p__Chordata	14
k__Eukaryota|k__Viridiplantae	205
k__Eukaryota|k__Viridiplantae|p__Streptophyta	205
k__Viruses	859
k__Viruses|k__Heunggongvirae	859
k__Viruses|k__Heunggongvirae|p__Uroviricota	859
