#Classification	S-17-POLPIL-B_bracken_P.kreport
k__Bacteria	1780383
k__Bacteria|p__Proteobacteria	1151119
k__Bacteria|p__Actinobacteria	494727
k__Bacteria|p__Cyanobacteria	16515
k__Bacteria|p__Firmicutes	5200
k__Bacteria|p__Chloroflexi	609
k__Bacteria|p__Deinococcus-Thermus	290
k__Bacteria|p__Armatimonadetes	177
k__Bacteria|p__Tenericutes	59
k__Bacteria|p__Bacteroidetes	47336
k__Bacteria|p__Chlorobi	35
k__Bacteria|p__Rhodothermaeota	80
k__Bacteria|p__Ignavibacteriae	6
k__Bacteria|p__Balneolaeota	3
k__Bacteria|p__Gemmatimonadetes	366
k__Bacteria|p__Fibrobacteres	3
k__Bacteria|p__Acidobacteria	45347
k__Bacteria|p__Planctomycetes	15137
k__Bacteria|p__Verrucomicrobia	2270
k__Bacteria|p__Chlamydiae	100
k__Bacteria|p__Kiritimatiellaeota	405
k__Bacteria|p__Candidatus_Saccharibacteria	111
k__Bacteria|p__Candidatus_Absconditabacteria	6
k__Bacteria|p__Candidatus_Bipolaricaulota	1
k__Bacteria|p__Spirochaetes	158
k__Bacteria|p__Thermotogae	115
k__Bacteria|p__Nitrospirae	28
k__Bacteria|p__Synergistetes	44
k__Bacteria|p__Fusobacteria	10
k__Bacteria|p__Elusimicrobia	8
k__Bacteria|p__Deferribacteres	6
k__Bacteria|p__Calditrichaeota	4
k__Bacteria|p__Thermodesulfobacteria	3
k__Bacteria|p__Chrysiogenetes	56
k__Bacteria|p__Aquificae	2
k__Bacteria|p__Coprothermobacterota	14
k__Bacteria|p__Atribacterota	16
k__Bacteria|p__Dictyoglomi	1
k__Eukaryota	63658
k__Eukaryota|k__Viridiplantae	37398
k__Eukaryota|k__Viridiplantae|p__Streptophyta	36056
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	1341
k__Eukaryota|k__Fungi	13606
k__Eukaryota|k__Fungi|p__Ascomycota	11855
k__Eukaryota|k__Fungi|p__Basidiomycota	1749
k__Eukaryota|k__Fungi|p__Microsporidia	1
k__Eukaryota|k__Metazoa	12469
k__Eukaryota|k__Metazoa|p__Chordata	12469
k__Eukaryota|p__Apicomplexa	61
k__Eukaryota|p__Bacillariophyta	26
k__Eukaryota|p__Cercozoa	16
k__Eukaryota|p__Euglenozoa	68
k__Eukaryota|p__Evosea	10
k__Eukaryota|p__Rhodophyta	1
k__Archaea	220
k__Archaea|p__Euryarchaeota	218
k__Archaea|p__Candidatus_Nanohaloarchaeota	1
k__Archaea|p__Crenarchaeota	1
k__Viruses	79
k__Viruses|k__Heunggongvirae	71
k__Viruses|k__Heunggongvirae|p__Uroviricota	71
k__Viruses|k__Bamfordvirae	8
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	8
