#Classification	GQ29_bracken_P.kreport
k__Bacteria	13897673
k__Bacteria|p__Firmicutes	12355130
k__Bacteria|p__Actinobacteria	241032
k__Bacteria|p__Tenericutes	120
k__Bacteria|p__Deinococcus-Thermus	20
k__Bacteria|p__Bacteroidetes	510649
k__Bacteria|p__Fusobacteria	559572
k__Bacteria|p__Proteobacteria	194638
k__Bacteria|p__Candidatus_Saccharibacteria	35952
k__Bacteria|p__Spirochaetes	546
k__Bacteria|p__Synergistetes	10
k__Eukaryota	4656
k__Eukaryota|k__Metazoa	3969
k__Eukaryota|k__Metazoa|p__Chordata	3969
k__Eukaryota|k__Fungi	5
k__Eukaryota|k__Fungi|p__Basidiomycota	5
k__Eukaryota|k__Viridiplantae	680
k__Eukaryota|k__Viridiplantae|p__Streptophyta	680
k__Viruses	158
k__Viruses|k__Heunggongvirae	158
k__Viruses|k__Heunggongvirae|p__Uroviricota	154
k__Viruses|k__Heunggongvirae|p__Peploviricota	4
