name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Lichenicoccus roseus	113922	S	17	105	122	0.22846
Acidisoma sp009765865	113615	S	14	52	66	0.12360
LMUY01 sp009765685	113921	S	1	32	33	0.06180
Methylobacterium sp022829365	118326	S	1	21	22	0.04120
Sphingomonas_N sp937859915	125357	S	2	16	18	0.03371
CAHJWH01 sp009765965	114500	S	3	29	32	0.05993
Caballeronia sp001557535	126764	S	2	61	63	0.11798
Pararobbsia sp026225235	128132	S	3	4	7	0.01311
Variovorax sp009765735	129478	S	1	65	66	0.12360
Granulicella_C tundricola	40204	S	2	7	9	0.01685
Granulicella_C sibirica	40198	S	1	7	8	0.01498
Granulicella sp009765785	40171	S	1	7	8	0.01498
Acidisarcina polymorpha	40108	S	1	2	3	0.00562
Granulicella_D aggregans_A	40206	S	1	3	4	0.00749
Palsa-1515 sp903970385	102220	S	4	61	65	0.12172
