#Classification	NS11_bracken_P.kreport
k__Bacteria	13044993
k__Bacteria|p__Bacteroidetes	10412372
k__Bacteria|p__Chlorobi	18
k__Bacteria|p__Rhodothermaeota	7
k__Bacteria|p__Gemmatimonadetes	37
k__Bacteria|p__Fibrobacteres	1
k__Bacteria|p__Firmicutes	2019633
k__Bacteria|p__Actinobacteria	489907
k__Bacteria|p__Deinococcus-Thermus	50
k__Bacteria|p__Tenericutes	42
k__Bacteria|p__Chloroflexi	40
k__Bacteria|p__Cyanobacteria	38
k__Bacteria|p__Proteobacteria	85810
k__Bacteria|p__Verrucomicrobia	36539
k__Bacteria|p__Planctomycetes	28
k__Bacteria|p__Kiritimatiellaeota	15
k__Bacteria|p__Candidatus_Omnitrophica	4
k__Bacteria|p__Chlamydiae	3
k__Bacteria|p__Spirochaetes	314
k__Bacteria|p__Candidatus_Saccharibacteria	54
k__Bacteria|p__Fusobacteria	28
k__Bacteria|p__Synergistetes	23
k__Bacteria|p__Acidobacteria	14
k__Bacteria|p__Nitrospirae	6
k__Bacteria|p__Aquificae	3
k__Bacteria|p__Thermodesulfobacteria	1
k__Eukaryota	877
k__Eukaryota|k__Viridiplantae	593
k__Eukaryota|k__Viridiplantae|p__Streptophyta	591
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	2
k__Eukaryota|k__Metazoa	267
k__Eukaryota|k__Metazoa|p__Chordata	267
k__Eukaryota|k__Fungi	15
k__Eukaryota|k__Fungi|p__Ascomycota	11
k__Eukaryota|k__Fungi|p__Basidiomycota	3
k__Eukaryota|p__Apicomplexa	1
k__Archaea	166
k__Archaea|p__Euryarchaeota	165
k__Archaea|p__Candidatus_Thermoplasmatota	1
k__Viruses	47400
k__Viruses|k__Heunggongvirae	47115
k__Viruses|k__Heunggongvirae|p__Uroviricota	47115
k__Viruses|k__Sangervirae	285
k__Viruses|k__Sangervirae|p__Phixviricota	285
