#Classification	GQ17b_bracken_P.kreport
k__Bacteria	14170575
k__Bacteria|p__Firmicutes	7721683
k__Bacteria|p__Actinobacteria	852653
k__Bacteria|p__Tenericutes	60
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Bacteroidetes	4007413
k__Bacteria|p__Proteobacteria	1030875
k__Bacteria|p__Fusobacteria	461657
k__Bacteria|p__Candidatus_Saccharibacteria	95051
k__Bacteria|p__Spirochaetes	1128
k__Bacteria|p__Synergistetes	51
k__Eukaryota	12190
k__Eukaryota|k__Viridiplantae	6795
k__Eukaryota|k__Viridiplantae|p__Streptophyta	6795
k__Eukaryota|k__Metazoa	5383
k__Eukaryota|k__Metazoa|p__Chordata	5383
k__Eukaryota|k__Fungi	9
k__Eukaryota|k__Fungi|p__Basidiomycota	5
k__Eukaryota|k__Fungi|p__Ascomycota	4
k__Eukaryota|p__Apicomplexa	1
k__Archaea	1
k__Archaea|p__Euryarchaeota	1
k__Viruses	1191
k__Viruses|k__Heunggongvirae	1191
k__Viruses|k__Heunggongvirae|p__Uroviricota	1152
k__Viruses|k__Heunggongvirae|p__Peploviricota	39
