name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Palsa-504 sp003161205	50189	S	132	352	484	0.21209
CAJCIY01 sp903970495	45419	S	5	58	63	0.02761
Nostoc sphaeroides	96894	S	1	71	72	0.03155
Nostoc linckia	96849	S	1	100	101	0.04426
LEGE-11386 sp019358915	96820	S	1	90	91	0.03988
Stigonema sp903903925	96940	S	1	4	5	0.00219
CAJCHQ01 sp903970295	98590	S	2	0	2	0.00088
Paraburkholderia sp000745015	128047	S	1	54	55	0.02410
Paraburkholderia phenazinium_A	128022	S	1	31	32	0.01402
Caballeronia sp001557535	126764	S	1	27	28	0.01227
Pararobbsia sp026225235	128132	S	1	2	3	0.00131
Rhodanobacter sp903827735	140625	S	1	13	14	0.00613
Methylobacterium sp022829385	118327	S	2	31	33	0.01446
Azorhizobium doebereinerae	120376	S	1	16	17	0.00745
Acidisoma sp009765865	113615	S	1	3	4	0.00175
BOG-930 sp903907955	113682	S	1	16	17	0.00745
Granulicella sp903970445	40192	S	47	737	784	0.34356
Granulicella sapmiensis	40168	S	1	0	1	0.00044
Granulicella sp009765785	40171	S	1	5	6	0.00263
Edaphobacter lichenicola	40130	S	2	138	140	0.06135
Edaphobacter sp021780315	40153	S	1	29	30	0.01315
Acidisarcina polymorpha	40108	S	1	2	3	0.00131
Granulicella_C sibirica	40198	S	1	6	7	0.00307
Bog-105 sp003169195	39838	S	1	6	7	0.00307
Palsa-1515 sp903970385	102220	S	10	131	141	0.06179
Palsibacter borealis	102221	S	1	99	100	0.04382
Mucilaginibacter frigoritolerans	89852	S	2	2	4	0.00175
Mucilaginibacter sp013288235	89907	S	1	25	26	0.01139
