#Classification	NS71_bracken_P.kreport
k__Bacteria	10893092
k__Bacteria|p__Firmicutes	5717082
k__Bacteria|p__Actinobacteria	2774628
k__Bacteria|p__Tenericutes	12
k__Bacteria|p__Cyanobacteria	9
k__Bacteria|p__Chloroflexi	7
k__Bacteria|p__Deinococcus-Thermus	4
k__Bacteria|p__Bacteroidetes	1440771
k__Bacteria|p__Gemmatimonadetes	1
k__Bacteria|p__Verrucomicrobia	949473
k__Bacteria|p__Proteobacteria	10011
k__Bacteria|p__Spirochaetes	781
k__Bacteria|p__Fusobacteria	229
k__Bacteria|p__Synergistetes	47
k__Bacteria|p__Candidatus_Saccharibacteria	26
k__Bacteria|p__Thermotogae	4
k__Bacteria|p__Nitrospirae	2
k__Archaea	303846
k__Archaea|p__Euryarchaeota	303845
k__Archaea|p__Candidatus_Thermoplasmatota	1
k__Eukaryota	3416
k__Eukaryota|k__Fungi	2917
k__Eukaryota|k__Fungi|p__Ascomycota	2913
k__Eukaryota|k__Fungi|p__Basidiomycota	4
k__Eukaryota|k__Metazoa	43
k__Eukaryota|k__Metazoa|p__Chordata	43
k__Eukaryota|k__Viridiplantae	449
k__Eukaryota|k__Viridiplantae|p__Streptophyta	448
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	1
k__Eukaryota|p__Apicomplexa	2
k__Eukaryota|p__Euglenozoa	2
k__Viruses	41578
k__Viruses|k__Heunggongvirae	41578
k__Viruses|k__Heunggongvirae|p__Uroviricota	41578
