#Classification	S-11-POLPIL-G_bracken_P.kreport
k__Bacteria	15505
k__Bacteria|p__Proteobacteria	13142
k__Bacteria|p__Actinobacteria	1297
k__Bacteria|p__Cyanobacteria	429
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Acidobacteria	365
k__Bacteria|p__Bacteroidetes	192
k__Bacteria|p__Planctomycetes	76
k__Eukaryota	1742
k__Eukaryota|k__Viridiplantae	1546
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1546
k__Eukaryota|k__Metazoa	153
k__Eukaryota|k__Metazoa|p__Chordata	153
k__Eukaryota|k__Fungi	42
k__Eukaryota|k__Fungi|p__Ascomycota	42
