#Classification	S-20-POLJUN-B_bracken_P.kreport
k__Bacteria	80487
k__Bacteria|p__Cyanobacteria	33281
k__Bacteria|p__Actinobacteria	4999
k__Bacteria|p__Firmicutes	2
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Proteobacteria	39391
k__Bacteria|p__Acidobacteria	2457
k__Bacteria|p__Bacteroidetes	217
k__Bacteria|p__Planctomycetes	135
k__Bacteria|p__Chlamydiae	2
k__Bacteria|p__Verrucomicrobia	1
k__Eukaryota	411
k__Eukaryota|k__Metazoa	224
k__Eukaryota|k__Metazoa|p__Chordata	224
k__Eukaryota|k__Fungi	32
k__Eukaryota|k__Fungi|p__Ascomycota	22
k__Eukaryota|k__Fungi|p__Basidiomycota	9
k__Eukaryota|k__Viridiplantae	154
k__Eukaryota|k__Viridiplantae|p__Streptophyta	154
