#Classification	S-20-POLJUN-B_bracken_C.kreport
k__Bacteria	50452
k__Bacteria|p__Proteobacteria	40843
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	17263
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	23160
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	412
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	7
k__Bacteria|p__Actinobacteria	6775
k__Bacteria|p__Actinobacteria|c__Actinomycetia	6302
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	472
k__Bacteria|p__Firmicutes	2
k__Bacteria|p__Firmicutes|c__Bacilli	2
k__Bacteria|p__Acidobacteria	2464
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	2464
k__Bacteria|p__Bacteroidetes	223
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	187
k__Bacteria|p__Bacteroidetes|c__Cytophagia	29
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	7
k__Bacteria|p__Planctomycetes	142
k__Bacteria|p__Planctomycetes|c__Planctomycetia	142
k__Bacteria|p__Chlamydiae	2
k__Bacteria|p__Chlamydiae|c__Chlamydiia	2
k__Eukaryota	413
k__Eukaryota|k__Metazoa	225
k__Eukaryota|k__Metazoa|p__Chordata	225
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	225
k__Eukaryota|k__Fungi	32
k__Eukaryota|k__Fungi|p__Ascomycota	22
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	12
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes	10
k__Eukaryota|k__Fungi|p__Basidiomycota	9
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Agaricomycetes	9
k__Eukaryota|k__Viridiplantae	154
k__Eukaryota|k__Viridiplantae|p__Streptophyta	154
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	146
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	8
