#Classification	SRR20002391_bracken_C.kreport
k__Bacteria	1420405
k__Bacteria|p__Proteobacteria	1073527
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	1063711
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	4957
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	4811
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia	47
k__Bacteria|p__Actinobacteria	292458
k__Bacteria|p__Actinobacteria|c__Actinomycetia	292121
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	337
k__Bacteria|p__Firmicutes	54035
k__Bacteria|p__Firmicutes|c__Bacilli	53213
k__Bacteria|p__Firmicutes|c__Clostridia	793
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	23
k__Bacteria|p__Firmicutes|c__Negativicutes	4
k__Bacteria|p__Bacteroidetes	326
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	326
k__Bacteria|p__Verrucomicrobia	56
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	56
k__Eukaryota	945
k__Eukaryota|k__Fungi	697
k__Eukaryota|k__Fungi|p__Basidiomycota	691
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes	691
k__Eukaryota|k__Fungi|p__Ascomycota	6
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	3
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes	2
k__Eukaryota|k__Metazoa	38
k__Eukaryota|k__Metazoa|p__Chordata	38
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	38
k__Eukaryota|k__Viridiplantae	209
k__Eukaryota|k__Viridiplantae|p__Streptophyta	209
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	209
