#Classification	S-11-POLPIL-G_bracken_P.kreport
k__Bacteria	36359
k__Bacteria|p__Proteobacteria	30874
k__Bacteria|p__Actinobacteria	2825
k__Bacteria|p__Cyanobacteria	1037
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Acidobacteria	962
k__Bacteria|p__Bacteroidetes	448
k__Bacteria|p__Planctomycetes	209
k__Eukaryota	3494
k__Eukaryota|k__Viridiplantae	3096
k__Eukaryota|k__Viridiplantae|p__Streptophyta	3096
k__Eukaryota|k__Metazoa	336
k__Eukaryota|k__Metazoa|p__Chordata	336
k__Eukaryota|k__Fungi	61
k__Eukaryota|k__Fungi|p__Ascomycota	55
k__Eukaryota|k__Fungi|p__Basidiomycota	5
