#Classification	S-13-POLPIL-B_bracken_P.kreport
k__Bacteria	36704
k__Bacteria|p__Proteobacteria	31939
k__Bacteria|p__Actinobacteria	2772
k__Bacteria|p__Cyanobacteria	7
k__Bacteria|p__Firmicutes	2
k__Bacteria|p__Bacteroidetes	1498
k__Bacteria|p__Acidobacteria	450
k__Bacteria|p__Planctomycetes	30
k__Bacteria|p__Verrucomicrobia	1
k__Bacteria|p__Candidatus_Saccharibacteria	3
k__Eukaryota	817
k__Eukaryota|k__Viridiplantae	567
k__Eukaryota|k__Viridiplantae|p__Streptophyta	567
k__Eukaryota|k__Metazoa	211
k__Eukaryota|k__Metazoa|p__Chordata	211
k__Eukaryota|k__Fungi	38
k__Eukaryota|k__Fungi|p__Basidiomycota	24
k__Eukaryota|k__Fungi|p__Ascomycota	13
k__Archaea	1
k__Archaea|p__Euryarchaeota	1
