#Classification	SRR5091515_bracken_O.kreport
k__Bacteria	2017845
k__Bacteria|p__Firmicutes	1115167
k__Bacteria|p__Firmicutes|c__Clostridia	1100280
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	1100280
k__Bacteria|p__Firmicutes|c__Negativicutes	10569
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	9946
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	618
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	5
k__Bacteria|p__Firmicutes|c__Bacilli	3649
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	3352
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	297
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	665
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	665
k__Bacteria|p__Firmicutes|c__Tissierellia	1
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	1
k__Bacteria|p__Actinobacteria	34216
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	26557
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	21008
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	5549
k__Bacteria|p__Actinobacteria|c__Actinomycetia	7659
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	3658
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	2586
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	1192
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	121
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	95
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Sporichthyales	4
k__Bacteria|p__Bacteroidetes	808543
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	808472
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	808472
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	71
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	71
k__Bacteria|p__Proteobacteria	55415
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	52676
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	45592
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	5345
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	532
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	61
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	1120
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	14
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	9
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	1853
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	1520
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	332
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	609
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	609
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	56
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	53
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales	2
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	220
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	57
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	81
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	72
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	5
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	4
k__Bacteria|p__Verrucomicrobia	4447
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	4447
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	4447
k__Bacteria|p__Spirochaetes	24
k__Bacteria|p__Spirochaetes|c__Spirochaetia	24
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	24
k__Bacteria|p__Fusobacteria	21
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	21
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	21
k__Bacteria|p__Candidatus_Saccharibacteria	5
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	5
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia|o__Candidatus_Nanosynbacterales	5
k__Bacteria|p__Synergistetes	4
k__Bacteria|p__Synergistetes|c__Synergistia	4
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	4
k__Eukaryota	776
k__Eukaryota|k__Viridiplantae	770
k__Eukaryota|k__Viridiplantae|p__Streptophyta	770
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	770
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Rosales	734
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fabales	3
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales	32
k__Eukaryota|k__Metazoa	3
k__Eukaryota|k__Metazoa|p__Chordata	3
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	3
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates	3
k__Eukaryota|k__Fungi	1
k__Eukaryota|k__Fungi|p__Ascomycota	1
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	1
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales	1
k__Eukaryota|p__Euglenozoa	1
k__Eukaryota|p__Euglenozoa|c__Kinetoplastea	1
k__Eukaryota|p__Euglenozoa|c__Kinetoplastea|o__Trypanosomatida	1
k__Viruses	1955
k__Viruses|k__Heunggongvirae	1955
k__Viruses|k__Heunggongvirae|p__Uroviricota	1955
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	1955
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes|o__Caudovirales	1955
