#Classification	S-4-DICUND-B_bracken_O.kreport
k__Bacteria	936515
k__Bacteria|p__Proteobacteria	500375
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	213055
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	131286
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	27960
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	34284
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	14280
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	4121
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	214
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	259
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	570
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	7
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	64
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales	5
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales	1
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	171619
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	159740
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	6434
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	2370
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	3073
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	108459
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	17964
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	17313
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	54927
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	2175
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	2851
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	4891
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	538
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	312
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	3387
