#Classification	S-11-POLPIL-B_bracken_P.kreport
k__Bacteria	52411
k__Bacteria|p__Proteobacteria	36420
k__Bacteria|p__Actinobacteria	11104
k__Bacteria|p__Cyanobacteria	1167
k__Bacteria|p__Firmicutes	212
k__Bacteria|p__Chloroflexi	2
k__Bacteria|p__Acidobacteria	2414
k__Bacteria|p__Planctomycetes	579
k__Bacteria|p__Verrucomicrobia	2
k__Bacteria|p__Chlamydiae	1
k__Bacteria|p__Bacteroidetes	507
k__Eukaryota	695
k__Eukaryota|k__Metazoa	345
k__Eukaryota|k__Metazoa|p__Chordata	345
k__Eukaryota|k__Fungi	38
k__Eukaryota|k__Fungi|p__Ascomycota	38
k__Eukaryota|k__Viridiplantae	311
k__Eukaryota|k__Viridiplantae|p__Streptophyta	311
