#Classification	S-24-POLJUN-G_bracken_C.kreport
k__Bacteria	47569
k__Bacteria|p__Proteobacteria	46507
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	42512
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	1702
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2292
k__Bacteria|p__Actinobacteria	624
k__Bacteria|p__Actinobacteria|c__Actinomycetia	624
k__Bacteria|p__Acidobacteria	361
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	361
k__Bacteria|p__Bacteroidetes	63
k__Bacteria|p__Bacteroidetes|c__Cytophagia	23
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	38
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	2
k__Bacteria|p__Planctomycetes	11
k__Bacteria|p__Planctomycetes|c__Planctomycetia	11
k__Eukaryota	3295
k__Eukaryota|k__Viridiplantae	2635
k__Eukaryota|k__Viridiplantae|p__Streptophyta	2635
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	2625
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	10
k__Eukaryota|k__Metazoa	637
k__Eukaryota|k__Metazoa|p__Chordata	637
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	637
k__Eukaryota|k__Fungi	22
k__Eukaryota|k__Fungi|p__Ascomycota	20
k__Eukaryota|k__Fungi|p__Ascomycota|c__Dothideomycetes	2
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes	2
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes	14
k__Eukaryota|k__Fungi|p__Basidiomycota	2
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Ustilaginomycetes	2
