#Classification	S-24-POLJUN-G_bracken_P.kreport
k__Bacteria	47571
k__Bacteria|p__Proteobacteria	45246
k__Bacteria|p__Cyanobacteria	1261
k__Bacteria|p__Actinobacteria	624
k__Bacteria|p__Acidobacteria	363
k__Bacteria|p__Bacteroidetes	63
k__Bacteria|p__Planctomycetes	11
k__Eukaryota	3295
k__Eukaryota|k__Viridiplantae	2635
k__Eukaryota|k__Viridiplantae|p__Streptophyta	2635
k__Eukaryota|k__Metazoa	637
k__Eukaryota|k__Metazoa|p__Chordata	637
k__Eukaryota|k__Fungi	22
k__Eukaryota|k__Fungi|p__Ascomycota	20
k__Eukaryota|k__Fungi|p__Basidiomycota	2
