#Classification	GQ47_bracken_P.kreport
k__Bacteria	10217799
k__Bacteria|p__Bacteroidetes	6139749
k__Bacteria|p__Firmicutes	3395419
k__Bacteria|p__Actinobacteria	353289
k__Bacteria|p__Tenericutes	66
k__Bacteria|p__Proteobacteria	328900
k__Bacteria|p__Verrucomicrobia	205
k__Bacteria|p__Spirochaetes	145
k__Bacteria|p__Synergistetes	22
k__Bacteria|p__Candidatus_Saccharibacteria	1
k__Archaea	169232
k__Archaea|p__Euryarchaeota	169232
k__Eukaryota	925
k__Eukaryota|k__Viridiplantae	856
k__Eukaryota|k__Viridiplantae|p__Streptophyta	856
k__Eukaryota|k__Metazoa	68
k__Eukaryota|k__Metazoa|p__Chordata	68
k__Viruses	392
k__Viruses|k__Heunggongvirae	392
k__Viruses|k__Heunggongvirae|p__Uroviricota	392
