#Classification	W-3-POLJUN-G_bracken_O.kreport
k__Bacteria	1606978
k__Bacteria|p__Proteobacteria	1278559
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	1039161
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	602821
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	398597
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	28035
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	6791
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	2765
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	87
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	36
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	17
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	8
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales	1
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	202964
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	143525
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	50546
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	7803
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	318
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	225
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	132
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	46
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	125
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales	33
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	32
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	39
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	15
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Kangiellales	13
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	27
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales	11
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	45
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales	13
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Salinisphaerales	5
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	3
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	35532
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	33999
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	847
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	261
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	424
