#Classification	GQ55_bracken_P.kreport
k__Bacteria	20822441
k__Bacteria|p__Firmicutes	11718619
k__Bacteria|p__Actinobacteria	586889
k__Bacteria|p__Cyanobacteria	999
k__Bacteria|p__Chloroflexi	736
k__Bacteria|p__Deinococcus-Thermus	575
k__Bacteria|p__Tenericutes	266
k__Bacteria|p__Armatimonadetes	11
k__Bacteria|p__Bacteroidetes	8307208
k__Bacteria|p__Chlorobi	61
k__Bacteria|p__Ignavibacteriae	14
k__Bacteria|p__Balneolaeota	1
k__Bacteria|p__Rhodothermaeota	6
k__Bacteria|p__Fibrobacteres	64
k__Bacteria|p__Gemmatimonadetes	35
k__Bacteria|p__Candidatus_Cloacimonetes	5
k__Bacteria|p__Proteobacteria	195532
k__Bacteria|p__Verrucomicrobia	3320
k__Bacteria|p__Planctomycetes	361
k__Bacteria|p__Kiritimatiellaeota	214
k__Bacteria|p__Chlamydiae	12
k__Bacteria|p__Candidatus_Omnitrophica	1
k__Bacteria|p__Spirochaetes	3420
k__Bacteria|p__Synergistetes	3064
k__Bacteria|p__Fusobacteria	650
k__Bacteria|p__Candidatus_Saccharibacteria	120
k__Bacteria|p__Candidatus_Bipolaricaulota	1
k__Bacteria|p__Acidobacteria	120
k__Bacteria|p__Nitrospirae	35
k__Bacteria|p__Thermotogae	35
k__Bacteria|p__Deferribacteres	12
k__Bacteria|p__Elusimicrobia	11
k__Bacteria|p__Thermodesulfobacteria	10
k__Bacteria|p__Chrysiogenetes	8
k__Bacteria|p__Atribacterota	6
k__Bacteria|p__Aquificae	6
k__Bacteria|p__Calditrichaeota	3
k__Bacteria|p__Caldiserica	1
k__Eukaryota	7846
k__Eukaryota|k__Viridiplantae	5716
k__Eukaryota|k__Viridiplantae|p__Streptophyta	5660
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	56
k__Eukaryota|k__Metazoa	1924
k__Eukaryota|k__Metazoa|p__Chordata	1924
k__Eukaryota|k__Fungi	143
k__Eukaryota|k__Fungi|p__Ascomycota	127
k__Eukaryota|k__Fungi|p__Basidiomycota	15
k__Eukaryota|p__Apicomplexa	29
k__Eukaryota|p__Euglenozoa	17
k__Eukaryota|p__Evosea	15
k__Archaea	783
k__Archaea|p__Euryarchaeota	737
k__Archaea|p__Candidatus_Thermoplasmatota	24
k__Archaea|p__Thaumarchaeota	16
k__Archaea|p__Crenarchaeota	4
k__Archaea|p__Candidatus_Lokiarchaeota	1
k__Viruses	56061
k__Viruses|k__Heunggongvirae	56056
k__Viruses|k__Heunggongvirae|p__Uroviricota	56056
k__Viruses|k__Shotokuvirae	4
k__Viruses|k__Shotokuvirae|p__Cressdnaviricota	4
k__Viruses|k__Bamfordvirae	1
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	1
