#Classification	SRR20002419_bracken_P.kreport
k__Bacteria	1942070
k__Bacteria|p__Proteobacteria	1421163
k__Bacteria|p__Actinobacteria	379038
k__Bacteria|p__Firmicutes	138182
k__Bacteria|p__Deinococcus-Thermus	461
k__Bacteria|p__Tenericutes	47
k__Bacteria|p__Cyanobacteria	11
k__Bacteria|p__Bacteroidetes	2980
k__Bacteria|p__Gemmatimonadetes	2
k__Bacteria|p__Chlamydiae	76
k__Bacteria|p__Verrucomicrobia	47
k__Bacteria|p__Planctomycetes	1
k__Bacteria|p__Fusobacteria	28
k__Bacteria|p__Spirochaetes	16
k__Bacteria|p__Candidatus_Saccharibacteria	10
k__Bacteria|p__Aquificae	3
k__Eukaryota	16301
k__Eukaryota|k__Fungi	11443
k__Eukaryota|k__Fungi|p__Basidiomycota	11174
k__Eukaryota|k__Fungi|p__Ascomycota	269
k__Eukaryota|k__Metazoa	3715
k__Eukaryota|k__Metazoa|p__Chordata	3715
k__Eukaryota|k__Viridiplantae	929
k__Eukaryota|k__Viridiplantae|p__Streptophyta	929
k__Eukaryota|p__Apicomplexa	209
k__Eukaryota|p__Euglenozoa	3
k__Viruses	636
k__Viruses|k__Heunggongvirae	633
k__Viruses|k__Heunggongvirae|p__Uroviricota	633
k__Viruses|k__Shotokuvirae	3
k__Viruses|k__Shotokuvirae|p__Cossaviricota	3
