#Classification	SRR5091511_bracken_P.kreport
k__Bacteria	3301738
k__Bacteria|p__Firmicutes	1933383
k__Bacteria|p__Actinobacteria	58798
k__Bacteria|p__Cyanobacteria	1
k__Bacteria|p__Bacteroidetes	1261806
k__Bacteria|p__Proteobacteria	47687
k__Bacteria|p__Verrucomicrobia	41
k__Bacteria|p__Fusobacteria	19
k__Eukaryota	387
k__Eukaryota|k__Viridiplantae	322
k__Eukaryota|k__Viridiplantae|p__Streptophyta	322
k__Eukaryota|k__Metazoa	43
k__Eukaryota|k__Metazoa|p__Chordata	43
k__Eukaryota|k__Fungi	21
k__Eukaryota|k__Fungi|p__Ascomycota	19
k__Eukaryota|k__Fungi|p__Basidiomycota	1
k__Viruses	203
k__Viruses|k__Heunggongvirae	200
k__Viruses|k__Heunggongvirae|p__Uroviricota	200
k__Viruses|k__Sangervirae	3
k__Viruses|k__Sangervirae|p__Phixviricota	3
