#Classification	S-1-POLCOM-B_bracken_C.kreport
k__Bacteria	540
k__Bacteria|p__Proteobacteria	482
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	423
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	17
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	41
k__Bacteria|p__Acidobacteria	36
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	36
k__Bacteria|p__Actinobacteria	20
k__Bacteria|p__Actinobacteria|c__Actinomycetia	20
k__Bacteria|p__Bacteroidetes	1
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	1
k__Eukaryota	4
k__Eukaryota|k__Fungi	4
k__Eukaryota|k__Fungi|p__Ascomycota	4
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes	4
