name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Gilliamella apis	1970738	S	942	1295	2237	0.16148
Gilliamella apicola	1196095	S	311	1256	1567	0.11312
Gilliamella sp. wkB7	3120264	S	123	644	767	0.05537
Frischella perrara	1267021	S	1181	1227	2408	0.17383
Snodgrassella alvi	1196083	S	1466	893	2359	0.17029
Commensalibacter melissae	2070537	S	91	93	184	0.01328
Bartonella apihabitans	2750929	S	2	4	6	0.00043
Lactobacillus apis	303541	S	821	358	1179	0.08511
Lactobacillus sp. IBH004	2879107	S	139	189	328	0.02368
Lactobacillus sp. wkB8	1545702	S	2	43	45	0.00325
Lactobacillus helsingborgensis	1218494	S	30	314	344	0.02483
Lactobacillus kullabergensis	1218493	S	26	41	67	0.00484
Lactobacillus kimbladii	1218506	S	1	25	26	0.00188
Bombilactobacillus mellifer	1218492	S	2	4	6	0.00043
Limosilactobacillus fermentum	1613	S	1	8	9	0.00065
Paenibacillus larvae	1464	S	82	1963	2045	0.14762
Bifidobacterium coryneforme	1687	S	63	23	86	0.00621
Bifidobacterium asteroides	1684	S	49	5	54	0.00390
Streptomyces sp. T12	477697	S	1	1	2	0.00014
Apis mellifera filamentous virus	1100043	S	126	0	126	0.00910
