#Classification	NS38_bracken_P.kreport
k__Bacteria	4848877
k__Bacteria|p__Actinobacteria	705112
k__Bacteria|p__Firmicutes	1809413
k__Bacteria|p__Bacteroidetes	1481574
k__Bacteria|p__Verrucomicrobia	661890
k__Bacteria|p__Proteobacteria	190741
k__Bacteria|p__Candidatus_Saccharibacteria	33
k__Bacteria|p__Spirochaetes	90
k__Bacteria|p__Synergistetes	7
k__Bacteria|p__Fusobacteria	14
k__Archaea	63219
k__Archaea|p__Euryarchaeota	63219
k__Eukaryota	1
k__Eukaryota|k__Viridiplantae	1
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1
k__Viruses	1493
k__Viruses|k__Heunggongvirae	1493
k__Viruses|k__Heunggongvirae|p__Uroviricota	1493
