#Classification	NS40_bracken_P.kreport
k__Bacteria	8770064
k__Bacteria|p__Firmicutes	5745614
k__Bacteria|p__Actinobacteria	1452684
k__Bacteria|p__Bacteroidetes	1531134
k__Bacteria|p__Proteobacteria	38754
k__Bacteria|p__Spirochaetes	1064
k__Bacteria|p__Verrucomicrobia	287
k__Bacteria|p__Candidatus_Saccharibacteria	282
k__Bacteria|p__Fusobacteria	241
k__Eukaryota	177
k__Eukaryota|k__Fungi	137
k__Eukaryota|k__Fungi|p__Ascomycota	137
k__Eukaryota|k__Viridiplantae	40
k__Eukaryota|k__Viridiplantae|p__Streptophyta	40
k__Viruses	435292
k__Viruses|k__Heunggongvirae	435292
k__Viruses|k__Heunggongvirae|p__Uroviricota	435292
