#Classification	S-19-POLPIL-B_bracken_P.kreport
k__Bacteria	54958
k__Bacteria|p__Cyanobacteria	19636
k__Bacteria|p__Actinobacteria	2158
k__Bacteria|p__Firmicutes	2
k__Bacteria|p__Proteobacteria	30517
k__Bacteria|p__Acidobacteria	2375
k__Bacteria|p__Bacteroidetes	171
k__Bacteria|p__Planctomycetes	96
k__Bacteria|p__Candidatus_Saccharibacteria	1
k__Eukaryota	331
k__Eukaryota|k__Metazoa	156
k__Eukaryota|k__Metazoa|p__Chordata	156
k__Eukaryota|k__Fungi	26
k__Eukaryota|k__Fungi|p__Ascomycota	26
k__Eukaryota|k__Viridiplantae	148
k__Eukaryota|k__Viridiplantae|p__Streptophyta	148
