#Classification	S-26-POLJUN-G_bracken_P.kreport
k__Bacteria	59116
k__Bacteria|p__Proteobacteria	53378
k__Bacteria|p__Cyanobacteria	3703
k__Bacteria|p__Actinobacteria	1284
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Firmicutes	147
k__Bacteria|p__Acidobacteria	542
k__Bacteria|p__Bacteroidetes	51
k__Bacteria|p__Planctomycetes	6
k__Bacteria|p__Verrucomicrobia	1
k__Eukaryota	3067
k__Eukaryota|k__Viridiplantae	2682
k__Eukaryota|k__Viridiplantae|p__Streptophyta	2682
k__Eukaryota|k__Metazoa	368
k__Eukaryota|k__Metazoa|p__Chordata	368
k__Eukaryota|k__Fungi	16
k__Eukaryota|k__Fungi|p__Ascomycota	15
k__Eukaryota|k__Fungi|p__Basidiomycota	1
