#Classification	S-9-DICUND-B_bracken_O.kreport
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales	200
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales	83
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Trueperales	11
k__Bacteria|p__Armatimonadetes	187
k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia	146
k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia|o__Fimbriimonadales	146
k__Bacteria|p__Armatimonadetes|c__Chthonomonadetes	41
k__Bacteria|p__Armatimonadetes|c__Chthonomonadetes|o__Chthonomonadales	41
k__Bacteria|p__Tenericutes	99
k__Bacteria|p__Tenericutes|c__Mollicutes	99
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales	66
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Entomoplasmatales	11
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales	21
k__Bacteria|p__Proteobacteria	518929
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	234649
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	154905
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	30856
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	14396
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	28167
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	5628
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	322
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	131
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	25
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	27
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Magnetococcales	6
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	100
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales	75
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Kordiimonadales	1
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	162025
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	150389
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	5881
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	1971
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	3782
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	111909
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	18794
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	20258
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	49476
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	3617
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	8870
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	2383
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	592
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	326
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	2311
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	143
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	436
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales	407
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	3405
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	232
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales	53
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Salinisphaerales	95
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	225
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales	163
