#Classification	NS67_bracken_P.kreport
k__Bacteria	993085
k__Bacteria|p__Firmicutes	711530
k__Bacteria|p__Actinobacteria	230718
k__Bacteria|p__Bacteroidetes	24289
k__Bacteria|p__Verrucomicrobia	7414
k__Bacteria|p__Proteobacteria	19118
k__Bacteria|p__Candidatus_Saccharibacteria	9
k__Bacteria|p__Fusobacteria	4
k__Bacteria|p__Spirochaetes	1
k__Archaea	19
k__Archaea|p__Candidatus_Thermoplasmatota	19
k__Eukaryota	1
k__Eukaryota|k__Viridiplantae	1
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1
k__Viruses	816
k__Viruses|k__Heunggongvirae	816
k__Viruses|k__Heunggongvirae|p__Uroviricota	816
