#Classification	GQ36_bracken_P.kreport
k__Bacteria	18892160
k__Bacteria|p__Bacteroidetes	10112810
k__Bacteria|p__Firmicutes	6390787
k__Bacteria|p__Actinobacteria	1923813
k__Bacteria|p__Tenericutes	3
k__Bacteria|p__Proteobacteria	378254
k__Bacteria|p__Verrucomicrobia	86030
k__Bacteria|p__Candidatus_Saccharibacteria	186
k__Bacteria|p__Spirochaetes	145
k__Bacteria|p__Synergistetes	115
k__Bacteria|p__Fusobacteria	13
k__Archaea	132448
k__Archaea|p__Euryarchaeota	132448
k__Eukaryota	131
k__Eukaryota|k__Fungi	82
k__Eukaryota|k__Fungi|p__Ascomycota	78
k__Eukaryota|k__Fungi|p__Basidiomycota	4
k__Eukaryota|k__Metazoa	1
k__Eukaryota|k__Metazoa|p__Chordata	1
k__Eukaryota|k__Viridiplantae	47
k__Eukaryota|k__Viridiplantae|p__Streptophyta	47
k__Viruses	24025
k__Viruses|k__Heunggongvirae	23980
k__Viruses|k__Heunggongvirae|p__Uroviricota	23980
k__Viruses|k__Sangervirae	45
k__Viruses|k__Sangervirae|p__Phixviricota	45
