#Classification	SRR5091592_bracken_P.kreport
k__Bacteria	7849866
k__Bacteria|p__Proteobacteria	6401782
k__Bacteria|p__Bacteroidetes	1318675
k__Bacteria|p__Firmicutes	123127
k__Bacteria|p__Actinobacteria	3808
k__Bacteria|p__Fusobacteria	2415
k__Bacteria|p__Verrucomicrobia	56
k__Bacteria|p__Candidatus_Saccharibacteria	1
k__Eukaryota	37
k__Eukaryota|k__Viridiplantae	37
k__Eukaryota|k__Viridiplantae|p__Streptophyta	37
k__Archaea	1
k__Archaea|p__Euryarchaeota	1
k__Viruses	18
k__Viruses|k__Heunggongvirae	18
k__Viruses|k__Heunggongvirae|p__Uroviricota	18
