#Classification	GQ25_bracken_P.kreport
k__Bacteria	2043061
k__Bacteria|p__Firmicutes	877660
k__Bacteria|p__Actinobacteria	235941
k__Bacteria|p__Tenericutes	37
k__Bacteria|p__Deinococcus-Thermus	5
k__Bacteria|p__Bacteroidetes	544004
k__Bacteria|p__Proteobacteria	334894
k__Bacteria|p__Fusobacteria	44440
k__Bacteria|p__Candidatus_Saccharibacteria	3650
k__Bacteria|p__Spirochaetes	2427
k__Eukaryota	8142
k__Eukaryota|k__Metazoa	6441
k__Eukaryota|k__Metazoa|p__Chordata	6441
k__Eukaryota|k__Fungi	108
k__Eukaryota|k__Fungi|p__Basidiomycota	87
k__Eukaryota|k__Fungi|p__Ascomycota	21
k__Eukaryota|k__Viridiplantae	1582
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1582
k__Eukaryota|p__Apicomplexa	9
k__Viruses	381
k__Viruses|k__Heunggongvirae	381
k__Viruses|k__Heunggongvirae|p__Uroviricota	377
k__Viruses|k__Heunggongvirae|p__Peploviricota	4
