name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Lactobacillus apis	55371	S	488	2245	2733	0.09391
Lactobacillus melliventris	55401	S	102	862	964	0.03312
Lactobacillus helsingborgensis	55384	S	80	798	878	0.03017
Lactobacillus apis_A	55372	S	34	655	689	0.02367
Lactobacillus sp945290125	55440	S	26	148	174	0.00598
Lactobacillus sp946479925	55443	S	23	519	542	0.01862
Lactobacillus kimbladii	55396	S	14	289	303	0.01041
Lactobacillus sp946482465	55445	S	14	266	280	0.00962
Lactobacillus sp016100975	55419	S	13	151	164	0.00564
Lactobacillus kullabergensis	55399	S	12	221	233	0.00801
Lactobacillus sp946477855	55442	S	11	221	232	0.00797
Lactobacillus kimbladii_B	55397	S	9	189	198	0.00680
Lactobacillus laiwuensis	55400	S	6	74	80	0.00275
Lactobacillus huangpiensis	55387	S	5	56	61	0.00210
Lactobacillus sp946482425	55444	S	3	150	153	0.00526
Bombilactobacillus mellis	55231	S	194	3853	4047	0.13906
Bombilactobacillus mellifer	55230	S	67	761	828	0.02845
Bombilactobacillus mellis_A	55232	S	31	1489	1520	0.05223
CALYQJ01 sp945273735	55234	S	7	12	19	0.00065
Gilliamella sp945271295	133099	S	249	240	489	0.01680
Gilliamella apicola	133069	S	190	1657	1847	0.06346
Gilliamella apis_A	133086	S	37	907	944	0.03244
Gilliamella sp946481345	133105	S	30	1315	1345	0.04622
Gilliamella apicola_N	133081	S	24	293	317	0.01089
Gilliamella apicola_R	133084	S	14	349	363	0.01247
Gilliamella apis	133085	S	13	183	196	0.00673
Gilliamella sp946482005	133106	S	11	437	448	0.01539
Gilliamella sp002142215	133091	S	3	45	48	0.00165
Gilliamella apicola_Q	133083	S	3	40	43	0.00148
Gilliamella bombi	133087	S	1	1048	1049	0.03604
Frischella perrara	133059	S	1207	3035	4242	0.14576
Snodgrassella alvi	130431	S	353	1655	2008	0.06900
Snodgrassella alvi_G	130436	S	3	13	16	0.00055
Snodgrassella sp946481965	130443	S	1	4	5	0.00017
Vogesella mureinivorans	129842	S	32	317	349	0.01199
Commensalibacter melissae	113763	S	65	118	183	0.00629
Commensalibacter sp945266285	113767	S	43	244	287	0.00986
Bombella apis	113693	S	7	10	17	0.00058
Bombella saccharophila	113700	S	1	4	5	0.00017
Bartonella_A sp946478665	119311	S	6	72	78	0.00268
Bifidobacterium indicum	42787	S	81	212	293	0.01007
Bifidobacterium asteroides_G	42752	S	3	26	29	0.00100
Bifidobacterium mizhiense	42804	S	2	82	84	0.00289
Bifidobacterium mellis	42799	S	1	75	76	0.00261
Bifidobacterium asteroides_J	42755	S	1	45	46	0.00158
Bifidobacterium polysaccharolyticum	42812	S	1	21	22	0.00076
Bifidobacterium asteroides_F	42751	S	1	32	33	0.00113
Bifidobacterium sp000499285	42832	S	1	36	37	0.00127
Cutibacterium acnes	48418	S	1	57	58	0.00199
Cutibacterium namnetense	48422	S	1	4	5	0.00017
Apibacter sp945280365	89010	S	2	15	17	0.00058
