#Classification	SRR20002457_bracken_P.kreport
k__Bacteria	1179735
k__Bacteria|p__Proteobacteria	1044845
k__Bacteria|p__Actinobacteria	82847
k__Bacteria|p__Firmicutes	51340
k__Bacteria|p__Deinococcus-Thermus	15
k__Bacteria|p__Chloroflexi	6
k__Bacteria|p__Cyanobacteria	3
k__Bacteria|p__Bacteroidetes	590
k__Bacteria|p__Verrucomicrobia	30
k__Bacteria|p__Chlamydiae	5
k__Bacteria|p__Fusobacteria	52
k__Eukaryota	1619
k__Eukaryota|k__Fungi	878
k__Eukaryota|k__Fungi|p__Basidiomycota	755
k__Eukaryota|k__Fungi|p__Ascomycota	122
k__Eukaryota|k__Metazoa	345
k__Eukaryota|k__Metazoa|p__Chordata	345
k__Eukaryota|k__Viridiplantae	395
k__Eukaryota|k__Viridiplantae|p__Streptophyta	395
k__Viruses	8
k__Viruses|k__Heunggongvirae	8
k__Viruses|k__Heunggongvirae|p__Uroviricota	8
