#Classification	GQ27_bracken_P.kreport
k__Bacteria	2237617
k__Bacteria|p__Firmicutes	881442
k__Bacteria|p__Actinobacteria	315303
k__Bacteria|p__Tenericutes	103
k__Bacteria|p__Proteobacteria	540402
k__Bacteria|p__Bacteroidetes	445127
k__Bacteria|p__Fusobacteria	47675
k__Bacteria|p__Candidatus_Saccharibacteria	4830
k__Bacteria|p__Spirochaetes	2110
k__Bacteria|p__Synergistetes	619
k__Bacteria|p__Acidobacteria	2
k__Eukaryota	20227
k__Eukaryota|k__Viridiplantae	12696
k__Eukaryota|k__Viridiplantae|p__Streptophyta	12696
k__Eukaryota|k__Metazoa	7455
k__Eukaryota|k__Metazoa|p__Chordata	7455
k__Eukaryota|k__Fungi	75
k__Eukaryota|k__Fungi|p__Basidiomycota	72
k__Eukaryota|k__Fungi|p__Ascomycota	3
k__Viruses	1835
k__Viruses|k__Heunggongvirae	1834
k__Viruses|k__Heunggongvirae|p__Uroviricota	1786
k__Viruses|k__Heunggongvirae|p__Peploviricota	48
k__Viruses|k__Bamfordvirae	1
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	1
