#Classification	GQ18_bracken_C.kreport
k__Bacteria	22818737
k__Bacteria|p__Firmicutes	13903281
k__Bacteria|p__Firmicutes|c__Bacilli	12101761
k__Bacteria|p__Firmicutes|c__Negativicutes	1770311
k__Bacteria|p__Firmicutes|c__Clostridia	29091
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	860
k__Bacteria|p__Firmicutes|c__Tissierellia	1256
k__Bacteria|p__Actinobacteria	3850870
k__Bacteria|p__Actinobacteria|c__Actinomycetia	3849735
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	1135
k__Bacteria|p__Tenericutes	342
k__Bacteria|p__Tenericutes|c__Mollicutes	342
k__Bacteria|p__Chloroflexi	3
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia	3
k__Bacteria|p__Bacteroidetes	2367085
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2353388
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	13696
k__Bacteria|p__Proteobacteria	1464581
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	705888
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	618311
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	140252
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	22
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	105
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	1
k__Bacteria|p__Fusobacteria	1216805
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	1216805
k__Bacteria|p__Candidatus_Saccharibacteria	14593
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	14593
k__Bacteria|p__Spirochaetes	1120
k__Bacteria|p__Spirochaetes|c__Spirochaetia	1120
k__Bacteria|p__Synergistetes	53
k__Bacteria|p__Synergistetes|c__Synergistia	53
k__Bacteria|p__Thermotogae	1
k__Bacteria|p__Thermotogae|c__Thermotogae	1
k__Eukaryota	3424
k__Eukaryota|k__Metazoa	2847
k__Eukaryota|k__Metazoa|p__Chordata	2847
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	2847
k__Eukaryota|k__Fungi	79
k__Eukaryota|k__Fungi|p__Ascomycota	51
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes	51
k__Eukaryota|k__Fungi|p__Basidiomycota	27
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes	27
k__Eukaryota|k__Viridiplantae	498
k__Eukaryota|k__Viridiplantae|p__Streptophyta	498
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	498
k__Viruses	1221
k__Viruses|k__Heunggongvirae	1221
k__Viruses|k__Heunggongvirae|p__Uroviricota	1216
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	1216
k__Viruses|k__Heunggongvirae|p__Peploviricota	5
k__Viruses|k__Heunggongvirae|p__Peploviricota|c__Herviviricetes	5
