#Classification	GQ18_bracken_P.kreport
k__Bacteria	22818737
k__Bacteria|p__Firmicutes	13903281
k__Bacteria|p__Actinobacteria	3850870
k__Bacteria|p__Tenericutes	342
k__Bacteria|p__Chloroflexi	3
k__Bacteria|p__Bacteroidetes	2367085
k__Bacteria|p__Proteobacteria	1464581
k__Bacteria|p__Fusobacteria	1149502
k__Bacteria|p__Candidatus_Saccharibacteria	81896
k__Bacteria|p__Spirochaetes	1120
k__Bacteria|p__Synergistetes	53
k__Bacteria|p__Thermotogae	1
k__Eukaryota	3424
k__Eukaryota|k__Metazoa	2847
k__Eukaryota|k__Metazoa|p__Chordata	2847
k__Eukaryota|k__Fungi	79
k__Eukaryota|k__Fungi|p__Ascomycota	51
k__Eukaryota|k__Fungi|p__Basidiomycota	27
k__Eukaryota|k__Viridiplantae	498
k__Eukaryota|k__Viridiplantae|p__Streptophyta	498
k__Viruses	1221
k__Viruses|k__Heunggongvirae	1221
k__Viruses|k__Heunggongvirae|p__Uroviricota	1216
k__Viruses|k__Heunggongvirae|p__Peploviricota	5
