#Classification	S-8-DICUND-B_bracken_C.kreport
k__Bacteria	212340
k__Bacteria|p__Proteobacteria	115012
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	37234
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	64191
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	1420
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	12152
k__Bacteria|p__Proteobacteria|c__Oligoflexia	13
k__Bacteria|p__Actinobacteria	87600
k__Bacteria|p__Actinobacteria|c__Actinomycetia	81183
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	4452
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	131
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	1832
k__Bacteria|p__Firmicutes	1375
k__Bacteria|p__Firmicutes|c__Bacilli	1375
k__Bacteria|p__Deinococcus-Thermus	124
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci	124
k__Bacteria|p__Armatimonadetes	119
k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia	118
k__Bacteria|p__Armatimonadetes|c__Chthonomonadetes	1
k__Bacteria|p__Chloroflexi	3
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria	3
k__Bacteria|p__Acidobacteria	5661
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	5661
k__Bacteria|p__Planctomycetes	1336
k__Bacteria|p__Planctomycetes|c__Planctomycetia	1314
k__Bacteria|p__Planctomycetes|c__Phycisphaerae	21
k__Bacteria|p__Verrucomicrobia	181
k__Bacteria|p__Verrucomicrobia|c__Opitutae	117
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	63
k__Bacteria|p__Chlamydiae	20
k__Bacteria|p__Chlamydiae|c__Chlamydiia	20
k__Bacteria|p__Bacteroidetes	903
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	783
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	106
k__Bacteria|p__Bacteroidetes|c__Cytophagia	6
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	6
k__Bacteria|p__Thermodesulfobacteria	1
k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria	1
k__Bacteria|p__Nitrospirae	1
k__Bacteria|p__Nitrospirae|c__Nitrospira	1
k__Eukaryota	10502
k__Eukaryota|k__Metazoa	6463
k__Eukaryota|k__Metazoa|p__Chordata	6463
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	6463
k__Eukaryota|k__Fungi	366
k__Eukaryota|k__Fungi|p__Ascomycota	350
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	70
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes	124
k__Eukaryota|k__Fungi|p__Ascomycota|c__Dothideomycetes	38
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes	117
k__Eukaryota|k__Fungi|p__Basidiomycota	16
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Agaricomycetes	16
k__Eukaryota|k__Viridiplantae	3671
k__Eukaryota|k__Viridiplantae|p__Streptophyta	3671
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	1903
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	1768
k__Eukaryota|p__Euglenozoa	1
k__Eukaryota|p__Euglenozoa|c__Kinetoplastea	1
