#Classification	S-8-DICUND-B_bracken_O.kreport
k__Bacteria	212330
k__Bacteria|p__Proteobacteria	115012
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	64191
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	62277
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	1867
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	13
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	32
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	37234
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	25918
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	822
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	5556
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	4909
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	26
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	1
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	12152
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	9181
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	1654
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	90
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	865
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	354
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	2
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	2
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	1420
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	1409
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	10
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales	1
k__Bacteria|p__Proteobacteria|c__Oligoflexia	13
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Silvanigrellales	13
k__Bacteria|p__Actinobacteria	87081
k__Bacteria|p__Actinobacteria|c__Actinomycetia	81183
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	5892
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	67598
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	1101
