feature	Acetobacteraceae	Acholeplasmataceae	Acidaminococcaceae	Actinomycetaceae	Aerococcaceae	Aeromonadaceae	Akkermansiaceae	Alcaligenaceae	Alicyclobacillaceae	Alteromonadaceae	Atopobiaceae	Bacillaceae	Bacteroidaceae	Barnesiellaceae	Beutenbergiaceae	Bifidobacteriaceae	Brachyspiraceae	Bradyrhizobiaceae	Brevibacteriaceae	Brucellaceae	Bruguierivoracaceae	Burkholderiaceae	Campylobacteraceae	Cardiobacteriaceae	Carnobacteriaceae	Caulobacteraceae	Chitinophagaceae	Christensenellaceae	Chrysiogenaceae	Clostridiaceae	Colwelliaceae	Comamonadaceae	Coriobacteriaceae	Corynebacteriaceae	Dehalococcoidaceae	Dermabacteraceae	Dermacoccaceae	Desulfocapsaceae	Desulfomicrobiaceae	Desulfovibrionaceae	Dysgonomonadaceae	Eggerthellaceae	Enterobacteriaceae	Enterococcaceae	Erwiniaceae	Erysipelotrichaceae	Erythrobacteraceae	Eubacteriaceae	Eubacteriales.Family.XIII..Incertae.Sedis	Fervidobacteriaceae	Fibrobacteraceae	Flavobacteriaceae	Fulvivirgaceae	Fusobacteriaceae	Gemmatimonadaceae	Geobacteraceae	Gordoniaceae	Gottschalkiaceae	Halomonadaceae	Helicobacteraceae	Heliobacteriaceae	Jiangellaceae	Lachnospiraceae	Lactobacillaceae	Lawsonellaceae	Leptotrichiaceae	Limnochordaceae	Listeriaceae	Methylobacteriaceae	Microbacteriaceae	Micrococcaceae	Moraxellaceae	Morganellaceae	Muribaculaceae	Mycobacteriaceae	Mycoplasmataceae	Nanosynbacteraceae	Neisseriaceae	Nitrospiraceae	Nocardiaceae	Nocardioidaceae	Odoribacteraceae	Oscillospiraceae	Oxalobacteraceae	Paenibacillaceae	Pasteurellaceae	Peptococcaceae	Peptoniphilaceae	Peptostreptococcaceae	Phyllobacteriaceae	Planococcaceae	Polyangiaceae	Porphyromonadaceae	Prevotellaceae	Propionibacteriaceae	Pseudoalteromonadaceae	Pseudomonadaceae	Pseudonocardiaceae	Rhizobiaceae	Rhodocyclaceae	Rhodothermaceae	Rikenellaceae	Roseobacteraceae	Selenomonadaceae	Sphingobacteriaceae	Sphingomonadaceae	Sporomusaceae	Staphylococcaceae	Steroidobacteraceae	Streptococcaceae	Streptomycetaceae	Succinivibrionaceae	Sulfurovaceae	Sutterellaceae	Symbiobacteriaceae	Synergistaceae	Tannerellaceae	Tepidanaerobacteraceae	Thermaceae	Thermoactinomycetaceae	Thermoanaerobacteraceae	Thermoanaerobacterales.Family.III..Incertae.Sedis	Thermohalobacteraceae	Tissierellaceae	Treponemataceae	Turicibacteraceae	Vallitaleaceae	Veillonellaceae	Vibrionaceae	Weeksellaceae	Xanthobacteraceae	Xanthomonadaceae	Yersiniaceae
NS10	129	0	5423	300	1	22	818	0	0	0	802	177	106707	30	0	1104090	0	0	0	0	0	0	6208	0	69	0	0	1250	0	71016	0	17	1171791	30	3	0	0	0	0	9	0	20106	14834	7155	0	67189	0	5546	85	0	1	0	0	27	0	3	0	0	0	0	15	0	2821337	435	3	0	0	2	0	9	9	93	0	4	0	0	48	0	0	0	0	179	862610	0	40	6	3	274	21308	0	0	0	4	65395	82	0	31	0	23	3	0	2217	0	17	0	0	4	74	0	9632	0	0	0	124	0	3	10648	0	0	1	2	1	0	4	183	116	13	74222	0	7	0	2	0
NS11	114	0	63203	174	8	34	36500	0	1	0	162	69	5194381	407	0	371556	0	0	0	0	0	12	1169	1	38	0	0	2016	0	19681	0	753	95914	10	4	0	0	0	1	428	0	5175	56397	4065	0	13686	0	3822	63	0	0	4	0	4	0	1	0	0	0	0	17	0	323443	20136	0	0	3	0	0	0	44	0	0	2862	0	0	9	11	0	0	0	83232	822849	12	6	662	0	76	3077	0	0	1	19	3467159	32	0	11501	2	35	1	0	162331	0	47	2	0	0	24	1	11730	0	0	0	6549	0	3	1120560	0	0	0	0	0	0	2	217	113	0	603031	0	40	0	2	0
NS13	358	0	189	573	4	75	413	0	0	0	19	286	3729003	77	0	2938	0	0	0	0	0	0	607	0	54	0	0	1128	0	56704	0	36	216	52	1	2	0	1	0	0	0	81498	210	4704	0	68894	0	5192	107	0	0	80	1	113	1	0	0	1	0	0	0	1	6159292	621	27	49	0	4	7	4	13	87	0	4	146	0	13	12	0	4	0	3658	1003875	0	0	115	8	2794	206112	0	21	0	44	2896	65	0	80	5	0	5	0	240870	0	18	0	46	0	38	4	51168	0	4	0	18	0	9	16710	0	0	0	1	0	1	46	588	3887	109	389	0	1082	0	14	0
NS21	86	0	273	628	37	0	721	0	0	1	60	97	9035176	19	0	36658	0	0	0	0	0	21	4797	3	73	8	0	624	0	62103	0	112	288	1932	64	0	0	0	0	48	0	21412	75996	2398	0	47468	0	1846	349	0	0	0	0	32	0	6	2	1	0	0	13	0	3353618	291	0	38	1	0	0	2	65	903	0	56	633	0	49	16	8	0	0	98384	4161054	0	24	2728	0	49	18308	0	0	0	6	1903	166	0	55	1	0	0	0	1672	14	11	0	0	4	0	0	69384	0	0	0	8	0	1	241244	0	1	0	1	0	0	0	503	89	12	95018	0	12	0	0	0
NS25	694	1	452191	401	1	27	488	0	7	0	63	122	13085944	1869	0	100961	1	0	0	0	0	5	63225	6	9	0	0	1448	0	88833	0	0	176	0	28	0	0	0	5	662	0	13069	1646	118726	0	64776	0	20358	7	0	0	0	0	105	0	8	0	0	0	0	8	0	1492525	454	0	39	0	0	0	0	19	25	0	344	114	0	38	1	13	0	0	28768	6919630	1	30	271	19	507	28658	0	0	0	34	4742	349	0	7128	4	0	0	0	23860	0	12	0	88	0	21	1	5234	0	0	0	5990	0	0	385454	0	0	0	0	0	0	3	569	1875	0	885	0	68	0	0	0
NS27	261	0	570	278	87	50	122974	0	0	0	8015	152	3446949	212	0	2307867	8	0	0	0	0	0	10460	2	57	0	0	2376	0	51144	1	18	102819	9	0	0	0	0	0	1	0	6262	578	1238	0	92603	0	7867	101	0	0	6	0	17	3	0	0	1	0	0	0	0	2196342	5317	0	4	0	0	0	1	13	0	0	11	8	0	18	19	0	0	0	478	2527031	0	11	9080	0	151	13904	0	17	0	86	12172	39	0	6	1	0	0	0	143451	0	9	2	0	0	147	0	270420	0	0	0	1352	0	0	245467	0	0	0	0	0	0	24	337	207	10	119080	0	822	0	3	0
NS28	48	0	78992	877	4	43	1046278	0	0	2	11443	115	1059777	1740	0	316014	670	0	0	0	0	0	45208	0	115	0	93	1210	0	37452	3	16	16581	345	0	3	0	0	0	36	0	2017	34178	2496	0	41418	0	3243	89	0	0	39	2	1260	0	0	0	2	4	1	0	0	1156171	1467	112	3	1	0	0	1	22	250	0	3449	2441	33	33	16	1	0	2	42373	2487128	0	21067	5355	5	669	14783	0	54	0	924	4215828	39	0	39	1	0	0	45	261773	9	18	0	127	2	126	1	37661	0	0	0	36417	0	23	482875	0	1	0	0	0	0	3	330	473	12	417317	2	421	0	0	0
NS29	19	0	5397	1480	3	0	403	0	0	0	518	298	1308482	90	0	3528412	0	0	0	0	0	25	6961	0	108	0	0	8457	0	475252	0	0	25974	48	2	0	2	0	0	40	0	208569	3341	15143	0	735874	0	162048	1901	0	0	0	0	416	0	0	0	3	0	0	0	3	2443209	1723	0	2	0	0	0	0	38	31	102	6	269	0	46	6	0	12	0	52	2214370	0	44	63	5	3721	126072	63	4	0	15	3681	100	1	14	0	14	0	0	67818	0	141	4	0	3	119	0	98521	0	0	0	3	2	15	6705	2	1	0	35	50	4	0	218	1978	56	1080	0	22	0	4	0
NS30	560	0	1217	1744	86	24	840	6	0	0	540	548	676844	22	0	1366637	1	0	2	0	0	91	5866	3	341	0	0	664	1	165803	0	109	30322	19	0	0	0	0	0	15	1	46743	773020	30899	0	97840	2	16298	308	1	0	0	1	79	0	23	0	0	0	0	9	0	6822061	4522	0	3	0	0	101	0	58	133	2	18	2416	1	1232	4	0	0	0	128	1950764	0	0	11	4	760	102969	31	0	0	11	7649	278	0	35	0	0	0	0	14466	0	87	0	19	1	106	0	61887	0	0	17	1214	0	0	4095	0	0	6	0	0	3	13	1506	358	62	1143	7	9	0	0	31
NS32	547	0	23722	573	1	67	71799	0	0	0	94	116	1785516	1028	2	215613	283	0	0	0	0	20	22607	0	19	0	0	1692	0	113378	0	42	44450	76	2	0	0	0	2	8003	335	6040	43948	7987	0	16212	0	6604	126	0	0	17	0	5	0	2	0	0	0	0	7	0	2463431	80526	0	68	1	0	0	0	28	127	0	977	783	0	77	3	0	0	0	63948	3173669	0	32	235	5	307	8343	38	0	0	317	1691000	51	0	19	0	0	0	10	152337	0	42	5	16	10	69	0	22164	4	0	0	10270	1	21	136945	4	0	4	1	3	0	3	559	528	8	3107	0	72	0	2	0
NS34	21	0	92708	5343	12	5	88985	0	0	0	116	35	8050458	61	0	183690	0	0	4	0	0	4	3880	0	349	0	0	961	0	34032	0	14	1608	101	21	29	0	0	0	9	10	26957	420356	4434	0	28797	0	10686	39	0	0	21	0	16413	0	0	0	0	0	0	0	0	857411	157	3284	30	0	6	0	0	14	5	0	89	0	1	13	47	0	0	0	75146	257906	0	7	34	5	22795	17629	0	0	0	5673	5158	133	0	111	0	0	0	0	127962	0	0	0	0	0	0	0	12328	0	0	0	7	0	6	516478	0	0	0	15	0	1	1	650	21282	3	2165	0	356	0	2	0
NS36	106	2	225344	932	0	0	3022608	170	0	0	229	44	3121117	1326	0	290390	0	2	0	0	0	17	7841	0	69	0	10	2548	0	287039	0	146	174745	219	21	0	0	1	0	19179	1	28029	2723	11979	0	102871	0	6673	101	1	0	6	0	47	0	1	0	0	0	4	52	0	546952	1655	12	5	1	0	13	5	31	459	0	59	6	0	62	13	0	0	2	117157	1820143	0	30	418	5	1803	28662	19	1	7	902	2904	73	1	4821	7	0	0	72	1083338	0	5	0	142	0	8077	0	22047	0	0	0	11246	3	149	603971	0	2	0	1	11	0	23	446	15030	12	132	8	209	0	3	0
