#Classification	SRR20002441_bracken_C.kreport
k__Bacteria	10756178
k__Bacteria|p__Proteobacteria	10746399
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	10746173
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	137
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	77
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia	10
k__Bacteria|p__Firmicutes	9164
k__Bacteria|p__Firmicutes|c__Bacilli	9144
k__Bacteria|p__Firmicutes|c__Clostridia	14
k__Bacteria|p__Firmicutes|c__Tissierellia	4
k__Bacteria|p__Firmicutes|c__Negativicutes	1
k__Bacteria|p__Actinobacteria	461
k__Bacteria|p__Actinobacteria|c__Actinomycetia	459
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2
k__Bacteria|p__Deinococcus-Thermus	112
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci	112
k__Bacteria|p__Tenericutes	2
k__Bacteria|p__Tenericutes|c__Mollicutes	2
k__Bacteria|p__Bacteroidetes	35
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	34
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	1
k__Bacteria|p__Fusobacteria	1
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	1
k__Bacteria|p__Chlamydiae	1
k__Bacteria|p__Chlamydiae|c__Chlamydiia	1
k__Eukaryota	715
k__Eukaryota|k__Fungi	523
k__Eukaryota|k__Fungi|p__Ascomycota	495
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes	493
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	1
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes	1
k__Eukaryota|k__Fungi|p__Basidiomycota	28
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes	28
k__Eukaryota|k__Metazoa	188
k__Eukaryota|k__Metazoa|p__Chordata	188
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	188
k__Eukaryota|k__Viridiplantae	3
k__Eukaryota|k__Viridiplantae|p__Streptophyta	3
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	3
k__Viruses	1
k__Viruses|k__Heunggongvirae	1
k__Viruses|k__Heunggongvirae|p__Uroviricota	1
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	1
