#Classification	SRR20002441_bracken_P.kreport
k__Bacteria	10756179
k__Bacteria|p__Proteobacteria	10746399
k__Bacteria|p__Firmicutes	9164
k__Bacteria|p__Actinobacteria	461
k__Bacteria|p__Deinococcus-Thermus	112
k__Bacteria|p__Tenericutes	3
k__Bacteria|p__Bacteroidetes	35
k__Bacteria|p__Chlamydiae	1
k__Bacteria|p__Fusobacteria	1
k__Eukaryota	715
k__Eukaryota|k__Fungi	523
k__Eukaryota|k__Fungi|p__Ascomycota	495
k__Eukaryota|k__Fungi|p__Basidiomycota	28
k__Eukaryota|k__Metazoa	188
k__Eukaryota|k__Metazoa|p__Chordata	188
k__Eukaryota|k__Viridiplantae	3
k__Eukaryota|k__Viridiplantae|p__Streptophyta	3
k__Viruses	1
k__Viruses|k__Heunggongvirae	1
k__Viruses|k__Heunggongvirae|p__Uroviricota	1
