#Classification	NS32_bracken_O.kreport
k__Bacteria	11087498
k__Bacteria|p__Firmicutes	6463996
k__Bacteria|p__Firmicutes|c__Clostridia	6258445
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	6258251
k__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales	163
k__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales	16
k__Bacteria|p__Firmicutes|c__Clostridia|o__Thermosediminibacterales	9
k__Bacteria|p__Firmicutes|c__Clostridia|o__Koleobacterales	5
k__Bacteria|p__Firmicutes|c__Bacilli	150452
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	131153
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	19299
k__Bacteria|p__Firmicutes|c__Negativicutes	31617
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	24961
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	6381
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	274
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	22600
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	22600
k__Bacteria|p__Firmicutes|c__Tissierellia	869
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	869
k__Bacteria|p__Firmicutes|c__Limnochordia	10
k__Bacteria|p__Firmicutes|c__Limnochordia|o__Limnochordales	10
k__Bacteria|p__Actinobacteria	287965
k__Bacteria|p__Actinobacteria|c__Actinomycetia	229095
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	225955
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	1228
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	969
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	468
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	170
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	155
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales	60
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	36
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	31
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Candidatus_Nanopelagicales	6
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Frankiales	5
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales	3
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales	1
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Geodermatophilales	1
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Sporichthyales	1
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Glycomycetales	1
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	58842
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	51893
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	6948
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	11
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales	11
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	9
