#Classification	NS78_bracken_F.kreport
k__Bacteria	2396266
k__Bacteria|p__Firmicutes	2031785
k__Bacteria|p__Firmicutes|c__Clostridia	1859293
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	1859293
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	1351387
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	457471
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae	18984
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	30335
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII._Incertae_Sedis	283
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae	664
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Christensenellaceae	165
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae	1
k__Bacteria|p__Firmicutes|c__Bacilli	113296
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	112891
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	104863
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	4744
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	2195
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	1087
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	405
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	336
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae	68
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	58960
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	58960
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	52469
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Turicibacteraceae	6491
k__Bacteria|p__Firmicutes|c__Negativicutes	212
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	133
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	133
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	79
