#Classification	S-18-POLJUN-B_bracken_O.kreport
k__Bacteria	1623079
k__Bacteria|p__Proteobacteria	1124796
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	487071
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	270231
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	143007
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	41413
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	25414
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	6348
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	77
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	239
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	186
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales	82
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	9
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Magnetococcales	6
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales	7
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	45
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	466576
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	456092
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	6225
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	2287
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	1971
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	163292
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	85966
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	46114
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	21775
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	1367
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	1560
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	529
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	2687
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	307
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	639
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	325
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	100
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales	291
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	260
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	979
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales	163
