#Classification	S-4-POLCOM-B_bracken_O.kreport
k__Bacteria	2264837
k__Bacteria|p__Proteobacteria	1538733
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	672817
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	664529
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	4538
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	1452
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	2296
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	664100
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	434414
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	138150
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	47373
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	33731
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	9034
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	501
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	256
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	334
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales	167
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	15
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	102
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales	7
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Magnetococcales	4
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Kordiimonadales	4
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	188672
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	62405
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	66939
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	47678
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	1398
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	1252
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	1901
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	2284
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	369
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	518
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	1175
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales	393
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	98
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	1368
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	429
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales	117
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	153
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Salinisphaerales	25
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales	107
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	33
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Kangiellales	20
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	12510
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	10677
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales	649
