#Classification	S-25-POLPIL-G_bracken_P.kreport
k__Bacteria	61778
k__Bacteria|p__Proteobacteria	59111
k__Bacteria|p__Acidobacteria	1892
k__Bacteria|p__Actinobacteria	604
k__Bacteria|p__Cyanobacteria	131
k__Bacteria|p__Bacteroidetes	34
k__Bacteria|p__Planctomycetes	4
k__Eukaryota	2446
k__Eukaryota|k__Viridiplantae	2156
k__Eukaryota|k__Viridiplantae|p__Streptophyta	2156
k__Eukaryota|k__Metazoa	281
k__Eukaryota|k__Metazoa|p__Chordata	281
k__Eukaryota|k__Fungi	8
k__Eukaryota|k__Fungi|p__Basidiomycota	6
k__Eukaryota|k__Fungi|p__Ascomycota	2
