#Classification	SRR20002359_bracken_P.kreport
k__Bacteria	3370570
k__Bacteria|p__Proteobacteria	2861641
k__Bacteria|p__Actinobacteria	386391
k__Bacteria|p__Firmicutes	118662
k__Bacteria|p__Cyanobacteria	2011
k__Bacteria|p__Deinococcus-Thermus	568
k__Bacteria|p__Tenericutes	30
k__Bacteria|p__Bacteroidetes	1060
k__Bacteria|p__Chlamydiae	142
k__Bacteria|p__Verrucomicrobia	13
k__Bacteria|p__Planctomycetes	3
k__Bacteria|p__Fusobacteria	45
k__Eukaryota	5771
k__Eukaryota|k__Fungi	3387
k__Eukaryota|k__Fungi|p__Basidiomycota	2426
k__Eukaryota|k__Fungi|p__Ascomycota	960
k__Eukaryota|k__Metazoa	1317
k__Eukaryota|k__Metazoa|p__Chordata	1317
k__Eukaryota|k__Viridiplantae	1067
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1067
k__Viruses	142
k__Viruses|k__Heunggongvirae	142
k__Viruses|k__Heunggongvirae|p__Uroviricota	142
