#Classification	SRR20002382_bracken_P.kreport
k__Bacteria	272016
k__Bacteria|p__Proteobacteria	241697
k__Bacteria|p__Actinobacteria	11948
k__Bacteria|p__Firmicutes	17825
k__Bacteria|p__Deinococcus-Thermus	495
k__Bacteria|p__Bacteroidetes	40
k__Bacteria|p__Chlamydiae	1
k__Bacteria|p__Verrucomicrobia	8
k__Eukaryota	167
k__Eukaryota|k__Fungi	138
k__Eukaryota|k__Fungi|p__Basidiomycota	126
k__Eukaryota|k__Fungi|p__Ascomycota	12
k__Eukaryota|k__Metazoa	26
k__Eukaryota|k__Metazoa|p__Chordata	26
k__Eukaryota|k__Viridiplantae	2
k__Eukaryota|k__Viridiplantae|p__Streptophyta	2
k__Viruses	1
k__Viruses|k__Heunggongvirae	1
k__Viruses|k__Heunggongvirae|p__Uroviricota	1
