#Classification	NS83_bracken_P.kreport
k__Bacteria	992227
k__Bacteria|p__Firmicutes	869031
k__Bacteria|p__Actinobacteria	85363
k__Bacteria|p__Bacteroidetes	27888
k__Bacteria|p__Verrucomicrobia	4271
k__Bacteria|p__Proteobacteria	5655
k__Bacteria|p__Spirochaetes	16
k__Bacteria|p__Candidatus_Saccharibacteria	1
k__Archaea	294
k__Archaea|p__Euryarchaeota	294
k__Eukaryota	45
k__Eukaryota|k__Viridiplantae	45
k__Eukaryota|k__Viridiplantae|p__Streptophyta	45
k__Viruses	2413
k__Viruses|k__Heunggongvirae	2413
k__Viruses|k__Heunggongvirae|p__Uroviricota	2413
